년도,월,일,사용분야,수입지출여부,금액,총금액
2022,11,25,쇼핑,수입,3819,3819
2022,2,28,식사,지출,2827,992
2022,4,23,체육대회,수입,6818,7810
2020,1,8,체육대회,수입,2804,10614
2021,9,14,MT,지출,2156,8458
2020,12,17,쇼핑,수입,2581,11039
2021,10,19,여행,지출,3500,7539
2021,12,5,쇼핑,수입,9267,16806
2020,2,24,체육대회,수입,1108,17914
2023,9,10,여행,수입,9047,26961
2020,1,28,식사,수입,8897,35858
2023,11,11,쇼핑,수입,4977,40835
2021,7,9,쇼핑,수입,7492,48327
2020,5,3,쇼핑,지출,9388,38939
2021,3,10,식사,수입,8679,47618
2021,4,1,식사,수입,7259,54877
2021,10,18,쇼핑,지출,2494,52383
2020,8,6,체육대회,지출,8292,44091
2022,5,23,쇼핑,수입,2930,47021
2022,10,16,쇼핑,수입,7285,54306
2023,3,5,식사,지출,9364,44942
2021,1,17,MT,수입,3531,48473
2020,5,27,쇼핑,수입,6101,54574
2020,6,15,쇼핑,지출,9929,44645
2020,8,19,MT,지출,7050,37595
2021,11,11,식사,수입,2168,39763
2021,8,29,쇼핑,수입,1692,41455
2021,12,7,식사,지출,9943,31512
2023,2,6,쇼핑,지출,2387,29125
2023,11,14,여행,수입,9750,38875
2021,5,1,식사,수입,9461,48336
2021,3,21,MT,수입,4790,53126
2021,8,15,체육대회,지출,9622,43504
2022,7,22,여행,수입,9496,53000
2023,2,26,쇼핑,수입,8371,61371
2023,10,25,여행,지출,6064,55307
2022,5,1,체육대회,수입,3820,59127
2023,6,30,쇼핑,지출,3911,55216
2020,5,24,식사,수입,8931,64147
2021,6,3,체육대회,수입,5816,69963
2022,8,3,여행,수입,8748,78711
2021,6,1,여행,수입,4118,82829
2021,6,16,체육대회,수입,9884,92713
2021,2,24,체육대회,수입,9654,102367
2020,10,30,식사,수입,3502,105869
2021,2,25,쇼핑,지출,6295,99574
2020,10,6,식사,지출,5706,93868
2020,7,31,체육대회,수입,4152,98020
2021,11,28,체육대회,수입,8665,106685
2022,7,17,MT,수입,9598,116283
2023,8,11,여행,지출,1891,114392
2023,5,12,쇼핑,수입,2292,116684
2022,8,14,MT,지출,7975,108709
2022,7,15,쇼핑,지출,5493,103216
2022,12,15,MT,수입,9488,112704
2021,2,7,쇼핑,수입,3836,116540
2022,8,10,MT,수입,1139,117679
2023,4,12,MT,지출,9560,108119
2023,3,15,쇼핑,지출,5287,102832
2023,8,16,체육대회,수입,9797,112629
2021,7,9,쇼핑,수입,3280,115909
2021,1,30,MT,지출,4890,111019
2020,7,4,여행,수입,6708,117727
2021,5,31,여행,지출,1082,116645
2022,9,11,여행,지출,2616,114029
2022,3,31,MT,지출,4772,109257
2023,11,24,쇼핑,수입,7018,116275
2020,9,1,식사,수입,9444,125719
2023,7,4,체육대회,지출,6050,119669
2020,5,22,식사,지출,3230,116439
2023,5,8,MT,지출,3288,113151
2020,4,30,체육대회,수입,6580,119731
2022,8,16,MT,수입,2069,121800
2022,6,20,MT,수입,5006,126806
2020,4,26,식사,수입,8049,134855
2022,11,26,MT,수입,3237,138092
2020,2,1,쇼핑,지출,9459,128633
2022,8,22,식사,지출,4469,124164
2020,1,7,쇼핑,지출,8178,115986
2021,4,22,MT,수입,9686,125672
2020,2,27,여행,수입,5157,130829
2023,1,8,체육대회,수입,4611,135440
2021,4,2,쇼핑,수입,3711,139151
2020,11,1,여행,수입,9177,148328
2023,1,12,여행,지출,5250,143078
2022,6,12,식사,수입,8821,151899
2020,8,7,여행,수입,5373,157272
2020,5,14,MT,지출,4492,152780
2021,2,7,쇼핑,수입,6207,158987
2022,11,6,여행,지출,1006,157981
2021,9,10,MT,지출,8423,149558
2022,1,24,MT,수입,3083,152641
2023,8,15,체육대회,수입,9823,162464
2023,4,9,MT,지출,5445,157019
2023,11,30,MT,수입,8057,165076
2020,4,14,식사,수입,2331,167407
2023,4,19,여행,수입,4772,172179
2020,6,4,식사,수입,5368,177547
2020,7,14,식사,수입,6198,183745
2023,4,17,여행,수입,6058,189803
2020,3,3,쇼핑,수입,1609,191412
2020,2,27,MT,지출,7680,183732
2022,1,21,체육대회,지출,9483,174249
2020,7,30,MT,지출,9287,164962
2023,9,6,체육대회,수입,9731,174693
2020,8,6,MT,지출,6454,168239
2020,7,8,MT,지출,3698,164541
2023,7,27,여행,수입,8614,173155
2020,9,23,MT,수입,6518,179673
2022,4,14,MT,지출,2995,176678
2022,2,12,식사,지출,8531,168147
2020,7,16,식사,지출,9296,158851
2022,7,8,체육대회,수입,8240,167091
2023,5,28,쇼핑,지출,5211,161880
2020,4,2,식사,수입,4391,166271
2021,9,20,쇼핑,지출,1720,164551
2020,9,30,MT,지출,8684,155867
2022,1,30,체육대회,지출,6494,149373
2021,8,16,식사,수입,1032,150405
2021,11,20,MT,수입,7169,157574
2023,1,9,MT,지출,7349,150225
2023,10,17,쇼핑,지출,2293,147932
2021,2,26,MT,수입,2235,150167
2020,7,10,MT,수입,1604,151771
2023,10,6,체육대회,수입,2583,154354
2023,9,25,여행,수입,7992,162346
2020,10,6,쇼핑,지출,2531,159815
2022,12,23,여행,지출,5168,154647
2023,10,24,MT,지출,9424,145223
2022,10,23,여행,지출,1145,144078
2023,2,7,체육대회,수입,6640,150718
2023,3,24,쇼핑,수입,4316,155034
2021,6,10,체육대회,지출,2555,152479
2021,4,8,체육대회,수입,4478,156957
2023,11,15,여행,수입,1595,158552
2020,1,9,여행,지출,8984,149568
2020,1,12,체육대회,지출,7272,142296
2020,5,15,체육대회,수입,4800,147096
2021,6,16,쇼핑,수입,8465,155561
2021,4,1,여행,수입,9288,164849
2023,2,10,체육대회,수입,3857,168706
2020,1,3,MT,지출,5130,163576
2022,9,26,식사,지출,8328,155248
2020,1,3,체육대회,수입,6975,162223
2022,10,29,여행,지출,5082,157141
2023,11,26,식사,지출,9295,147846
2020,3,28,식사,수입,6734,154580
2023,1,5,쇼핑,수입,4330,158910
2023,10,29,MT,지출,4869,154041
2021,5,23,식사,수입,8684,162725
2023,5,5,식사,수입,9559,172284
2021,11,26,체육대회,지출,8825,163459
2022,5,16,MT,수입,5696,169155
2021,2,21,MT,수입,8640,177795
2023,7,4,식사,지출,6857,170938
2023,4,10,쇼핑,지출,9370,161568
2023,8,24,여행,수입,3659,165227
2023,3,5,MT,지출,9855,155372
2022,9,25,식사,지출,1225,154147
2022,9,22,식사,지출,9538,144609
2023,8,25,식사,지출,4011,140598
2022,11,18,쇼핑,지출,7852,132746
2021,7,28,체육대회,지출,1269,131477
2022,1,24,식사,수입,5020,136497
2022,11,25,여행,지출,7862,128635
2023,2,2,쇼핑,지출,3789,124846
2022,10,11,여행,수입,6778,131624
2021,5,27,체육대회,수입,7478,139102
2023,9,30,쇼핑,지출,7209,131893
2020,11,3,여행,수입,2202,134095
2023,8,16,MT,지출,9288,124807
2020,5,28,MT,지출,3807,121000
2023,2,20,여행,지출,9900,111100
2022,4,20,MT,지출,2586,108514
2023,7,25,MT,지출,3640,104874
2021,7,16,여행,지출,9216,95658
2023,8,20,MT,수입,7257,102915
2022,7,31,쇼핑,수입,6896,109811
2020,9,3,여행,수입,6922,116733
2020,7,13,여행,수입,9021,125754
2022,2,13,체육대회,수입,9013,134767
2023,12,15,식사,지출,6994,127773
2022,7,26,여행,수입,3955,131728
2023,9,12,체육대회,수입,8486,140214
2023,7,14,체육대회,수입,3837,144051
2022,1,11,여행,지출,6946,137105
2021,12,4,쇼핑,지출,8295,128810
2022,9,7,체육대회,수입,3698,132508
2023,6,14,여행,수입,3135,135643
2022,8,20,여행,지출,7429,128214
2021,9,9,쇼핑,수입,6327,134541
2022,8,12,식사,수입,5029,139570
2023,11,14,쇼핑,수입,2382,141952
2020,4,19,MT,지출,7635,134317
2023,6,2,여행,수입,5609,139926
2022,4,8,체육대회,지출,5712,134214
2020,11,6,쇼핑,수입,2814,137028
2021,11,28,여행,수입,2167,139195
2020,5,6,체육대회,지출,8961,130234
2023,11,25,MT,수입,4961,135195
2022,11,6,여행,수입,9415,144610
2023,10,19,여행,지출,5569,139041
2021,8,5,식사,지출,3887,135154
2020,10,22,여행,수입,4188,139342
2021,11,5,MT,지출,6015,133327
2023,7,1,여행,수입,4704,138031
2022,5,18,식사,지출,3154,134877
2022,10,11,식사,지출,7034,127843
2023,2,1,쇼핑,지출,7999,119844
2023,5,8,MT,지출,9618,110226
2020,9,23,체육대회,수입,2029,112255
2023,10,13,MT,지출,7065,105190
2020,10,7,식사,수입,7854,113044
2022,5,5,체육대회,지출,1446,111598
2021,9,30,쇼핑,수입,5617,117215
2023,2,20,MT,지출,9497,107718
2020,4,29,여행,수입,6446,114164
2020,7,4,쇼핑,지출,5654,108510
2023,8,17,식사,수입,5265,113775
2020,4,14,여행,수입,8448,122223
2023,4,15,식사,수입,7735,129958
2023,12,12,식사,지출,2765,127193
2021,5,27,쇼핑,지출,4931,122262
2020,9,16,체육대회,지출,1834,120428
2020,4,19,쇼핑,수입,1058,121486
2021,10,28,여행,수입,6221,127707
2022,6,16,체육대회,지출,8079,119628
2023,5,9,식사,수입,7485,127113
2020,5,25,식사,수입,5679,132792
2021,2,17,쇼핑,지출,7353,125439
2021,11,12,여행,지출,7380,118059
2023,12,29,MT,지출,1907,116152
2023,11,29,식사,수입,6061,122213
2022,10,13,쇼핑,수입,6115,128328
2020,9,28,식사,지출,3464,124864
2021,5,24,식사,수입,1876,126740
2022,1,23,MT,수입,7365,134105
2022,3,12,여행,수입,8771,142876
2023,8,15,여행,지출,8761,134115
2022,6,2,MT,수입,6067,140182
2022,3,14,체육대회,수입,6714,146896
2020,6,18,쇼핑,수입,4235,151131
2022,3,11,여행,지출,8673,142458
2021,9,20,쇼핑,지출,2739,139719
2022,4,15,쇼핑,지출,1126,138593
2023,12,12,쇼핑,수입,6789,145382
2023,7,23,쇼핑,지출,8706,136676
2022,4,19,쇼핑,수입,5784,142460
2022,5,15,여행,지출,1267,141193
2021,7,9,식사,수입,7891,149084
2020,12,6,MT,지출,9530,139554
2021,6,26,여행,수입,1349,140903
2021,5,26,여행,지출,1066,139837
2022,5,15,MT,지출,9014,130823
2021,1,16,쇼핑,수입,9717,140540
2023,11,2,여행,지출,1739,138801
2022,12,6,쇼핑,수입,6423,145224
2023,10,18,쇼핑,지출,2712,142512
2021,11,6,쇼핑,수입,4812,147324
2022,6,19,여행,수입,3861,151185
2023,4,22,체육대회,지출,9871,141314
2020,2,7,체육대회,지출,7630,133684
2023,5,22,체육대회,수입,4469,138153
2022,7,8,여행,수입,3730,141883
2020,4,3,식사,수입,9753,151636
2023,10,17,체육대회,수입,9151,160787
2020,9,27,식사,지출,3992,156795
2021,12,26,쇼핑,수입,2540,159335
2021,12,24,MT,수입,8705,168040
2021,12,15,쇼핑,수입,8238,176278
2020,9,19,식사,지출,3079,173199
2021,6,28,쇼핑,수입,2417,175616
2022,11,4,식사,수입,9394,185010
2021,2,24,식사,지출,3611,181399
2023,11,10,MT,지출,2711,178688
2022,8,17,MT,지출,4851,173837
2022,9,15,MT,수입,7349,181186
2020,5,19,여행,지출,5541,175645
2022,4,14,여행,수입,8174,183819
2022,7,25,MT,수입,1335,185154
2020,2,21,체육대회,지출,3901,181253
2022,10,1,쇼핑,지출,1557,179696
2021,6,9,쇼핑,지출,9796,169900
2021,7,9,MT,수입,5933,175833
2020,5,13,MT,지출,2797,173036
2023,10,28,여행,지출,3991,169045
2022,9,3,MT,지출,5362,163683
2023,3,5,체육대회,지출,4476,159207
2023,6,30,MT,지출,8328,150879
2022,10,23,식사,수입,9447,160326
2022,4,11,여행,지출,6644,153682
2021,4,29,여행,수입,7591,161273
2022,10,14,쇼핑,수입,8518,169791
2023,2,24,MT,지출,2764,167027
2021,3,17,여행,지출,1104,165923
2020,8,9,쇼핑,지출,3107,162816
2022,3,8,식사,지출,3261,159555
2021,1,3,여행,지출,9986,149569
2023,12,8,여행,지출,7809,141760
2023,5,19,쇼핑,수입,4741,146501
2022,12,24,체육대회,수입,7552,154053
2023,3,16,쇼핑,수입,6507,160560
2021,7,5,MT,수입,1916,162476
2020,3,31,여행,지출,1218,161258
